octal_div([train(6641)], [train(34757)], 11).
octal_div([train(34921)], [train(21229)], 4).
octal_div([train(41012)], [train(15368)], 0).
octal_div([train(27048)], [train(57191)], 4).
octal_div([train(20921)], [train(8735)], 1).
octal_div([train(34016)], [train(26675)], 0).
octal_div([train(16790)], [train(23764)], 4).
octal_div([train(4203)], [train(11865)], 0).
octal_div([train(37336)], [train(15925)], 3).
octal_div([train(35876)], [train(52022)], 1).
octal_div([train(10261)], [train(4869)], 0).
octal_div([train(4381)], [train(572)], 10).
octal_div([train(23467)], [train(47676)], 3).
octal_div([train(6113)], [train(24176)], 0).
octal_div([train(40284)], [train(52046)], 0).
octal_div([train(57434)], [train(40392)], 2).
octal_div([train(7325)], [train(22753)], 0).
octal_div([train(54459)], [train(5858)], 0).
octal_div([train(1670)], [train(17468)], 1).
octal_div([train(56080)], [train(41809)], 4).
octal_div([train(18910)], [train(29661)], 1).
octal_div([train(1941)], [train(55743)], 1).
octal_div([train(54311)], [train(22587)], 3).
octal_div([train(9077)], [train(23396)], 7).
octal_div([train(51402)], [train(29807)], 6).
octal_div([train(31082)], [train(55180)], 0).
octal_div([train(35982)], [train(10361)], 0).
octal_div([train(12564)], [train(23403)], 2).
octal_div([train(1147)], [train(46602)], 1).
octal_div([train(31903)], [train(47685)], 3).
octal_div([train(18272)], [train(35108)], 10).
octal_div([train(30653)], [train(40709)], 0).
octal_div([train(38600)], [train(17142)], 1).
octal_div([train(3245)], [train(9609)], 6).
octal_div([train(3943)], [train(185)], 0).
octal_div([train(49457)], [train(43426)], 10).
octal_div([train(32608)], [train(51833)], 7).
octal_div([train(40414)], [train(22425)], 0).
octal_div([train(32301)], [train(50561)], 4).
octal_div([train(39243)], [train(12065)], 0).
octal_div([train(45496)], [train(49194)], 7).
octal_div([train(2130)], [train(8923)], 1).
octal_div([train(3351)], [train(6220)], 1).
octal_div([train(29381)], [train(44996)], 10).
octal_div([train(59953)], [train(48275)], 1).
octal_div([train(54662)], [train(37533)], 3).
octal_div([train(40778)], [train(9121)], 0).
octal_div([train(54671)], [train(38931)], 1).
octal_div([train(51904)], [train(40696)], 10).
octal_div([train(22508)], [train(12386)], 1).
octal_div([train(53275)], [train(52610)], 1).
octal_div([train(1725)], [train(24216)], 0).
octal_div([train(58564)], [train(24678)], 3).
octal_div([train(21873)], [train(6451)], 1).
octal_div([train(52520)], [train(50370)], 0).
octal_div([train(22438)], [train(18890)], 1).
octal_div([train(41731)], [train(20870)], 5).
octal_div([train(17296)], [train(1044)], 11).
octal_div([train(52843)], [train(14268)], 11).
octal_div([train(13485)], [train(10704)], 2).
octal_div([train(58067)], [train(2419)], 3).
octal_div([train(25797)], [train(28743)], 7).
octal_div([train(34352)], [train(38503)], 0).
octal_div([train(59450)], [train(28141)], 0).
octal_div([train(30882)], [train(55615)], 1).
octal_div([train(57946)], [train(27895)], 4).
octal_div([train(487)], [train(11186)], 1).
octal_div([train(25114)], [train(25517)], 2).
octal_div([train(5745)], [train(29847)], 1).
octal_div([train(41118)], [train(29986)], 10).
octal_div([train(38461)], [train(38047)], 0).
octal_div([train(1363)], [train(7306)], 0).
octal_div([train(59021)], [train(43502)], 1).
octal_div([train(22065)], [train(2667)], 1).
octal_div([train(56418)], [train(36814)], 7).
octal_div([train(30939)], [train(55792)], 0).
octal_div([train(2518)], [train(24070)], 2).
octal_div([train(47588)], [train(53515)], 1).
octal_div([train(47335)], [train(47189)], 0).
octal_div([train(39691)], [train(5823)], 1).
octal_div([train(51914)], [train(20746)], 7).
octal_div([train(22537)], [train(18454)], 2).
octal_div([train(18412)], [train(58854)], 0).
octal_div([train(42840)], [train(4742)], 1).
octal_div([train(55347)], [train(40516)], 11).
octal_div([train(37831)], [train(8153)], 1).
octal_div([train(36420)], [train(304)], 1).
octal_div([train(43855)], [train(11504)], 5).
octal_div([train(27484)], [train(1415)], 0).
octal_div([train(9903)], [train(19122)], 1).
octal_div([train(23741)], [train(51257)], 0).
octal_div([train(15023)], [train(9069)], 4).
octal_div([train(8045)], [train(2918)], 10).
octal_div([train(59472)], [train(34460)], 0).
octal_div([train(54642)], [train(44215)], 0).
octal_div([train(6283)], [train(10567)], 2).
octal_div([train(24342)], [train(36715)], 3).
octal_div([train(31692)], [train(16359)], 1).
octal_div([train(16176)], [train(4650)], 1).
octal_div([train(17140)], [train(6640)], 7).
octal_div([train(48674)], [train(22095)], 2).
octal_div([train(31494)], [train(30628)], 1).
octal_div([train(2592)], [train(13185)], 1).
octal_div([train(13885)], [train(53028)], 1).
octal_div([train(57907)], [train(28858)], 0).
octal_div([train(5757)], [train(13538)], 1).
octal_div([train(37439)], [train(52309)], 3).
octal_div([train(28160)], [train(2251)], 0).
octal_div([train(1754)], [train(2125)], 1).
octal_div([train(5978)], [train(1247)], 0).
octal_div([train(55138)], [train(37847)], 2).
octal_div([train(33146)], [train(20615)], 1).
octal_div([train(53226)], [train(38770)], 2).
octal_div([train(46714)], [train(30072)], 3).
octal_div([train(42524)], [train(30244)], 11).
octal_div([train(48979)], [train(28632)], 1).
octal_div([train(29985)], [train(24934)], 0).
octal_div([train(24867)], [train(26419)], 1).
octal_div([train(48595)], [train(51114)], 1).
octal_div([train(49275)], [train(45687)], 2).
octal_div([train(10425)], [train(57814)], 0).
octal_div([train(54900)], [train(27910)], 0).
octal_div([train(27955)], [train(40198)], 2).
octal_div([train(47397)], [train(29577)], 1).
octal_div([train(4805)], [train(54448)], 1).
octal_div([train(38579)], [train(20876)], 0).
octal_div([train(43681)], [train(7005)], 1).
octal_div([train(7268)], [train(7588)], 6).
octal_div([train(7038)], [train(58505)], 0).
octal_div([train(7261)], [train(37478)], 1).
octal_div([train(36953)], [train(35006)], 0).
octal_div([train(49937)], [train(45920)], 2).
octal_div([train(41019)], [train(51493)], 1).
octal_div([train(9367)], [train(56537)], 5).
octal_div([train(4918)], [train(55385)], 0).
octal_div([train(13032)], [train(29962)], 3).
octal_div([train(33168)], [train(27111)], 2).
octal_div([train(35452)], [train(48409)], 1).
octal_div([train(22175)], [train(25197)], 2).
octal_div([train(15401)], [train(15823)], 3).
octal_div([train(33779)], [train(13085)], 1).
octal_div([train(44778)], [train(46276)], 11).
octal_div([train(16987)], [train(21477)], 0).
octal_div([train(13731)], [train(32325)], 1).
octal_div([train(8999)], [train(17587)], 11).
octal_div([train(21925)], [train(51732)], 1).
octal_div([train(39715)], [train(30647)], 0).
octal_div([train(40273)], [train(2889)], 1).
octal_div([train(30818)], [train(54487)], 2).
octal_div([train(46615)], [train(41360)], 7).
octal_div([train(49724)], [train(46313)], 1).
octal_div([train(48100)], [train(50884)], 1).
octal_div([train(52024)], [train(698)], 4).
octal_div([train(52513)], [train(44988)], 6).
octal_div([train(44645)], [train(7258)], 1).
octal_div([train(32183)], [train(19833)], 3).
octal_div([train(12190)], [train(41865)], 2).
octal_div([train(18917)], [train(44962)], 1).
octal_div([train(27556)], [train(33985)], 6).
octal_div([train(7485)], [train(9270)], 0).
octal_div([train(57986)], [train(11820)], 1).
octal_div([train(10955)], [train(18437)], 1).
octal_div([train(50317)], [train(12987)], 3).
octal_div([train(693)], [train(39012)], 2).
octal_div([train(18396)], [train(2413)], 1).
octal_div([train(55392)], [train(51184)], 1).
octal_div([train(16290)], [train(34938)], 4).
octal_div([train(6001)], [train(626)], 0).
octal_div([train(8157)], [train(11096)], 0).
octal_div([train(31383)], [train(7393)], 7).
octal_div([train(36795)], [train(17423)], 4).
octal_div([train(29785)], [train(57339)], 3).
octal_div([train(48093)], [train(29083)], 7).
octal_div([train(52869)], [train(5529)], 1).
octal_div([train(21016)], [train(56538)], 5).
octal_div([train(38208)], [train(56343)], 2).
octal_div([train(52583)], [train(3274)], 4).
octal_div([train(54379)], [train(44800)], 4).
octal_div([train(1767)], [train(59954)], 4).
octal_div([train(44739)], [train(55437)], 4).
octal_div([train(12827)], [train(1203)], 1).
octal_div([train(58094)], [train(54207)], 1).
octal_div([train(49479)], [train(28964)], 4).
octal_div([train(26472)], [train(15472)], 2).
octal_div([train(8640)], [train(4428)], 1).
octal_div([train(2193)], [train(5644)], 5).
octal_div([train(42357)], [train(46324)], 1).
octal_div([train(2172)], [train(11135)], 5).
octal_div([train(35183)], [train(30297)], 2).
octal_div([train(30185)], [train(25045)], 10).
octal_div([train(47947)], [train(13631)], 1).
octal_div([train(19104)], [train(43851)], 0).
octal_div([train(49710)], [train(41071)], 3).
octal_div([train(38912)], [train(30460)], 1).
octal_div([train(20954)], [train(15221)], 1).
octal_div([train(2626)], [train(19749)], 2).
octal_div([train(6211)], [train(43872)], 2).
octal_div([train(45476)], [train(40503)], 0).
octal_div([train(24265)], [train(58887)], 0).
octal_div([train(25326)], [train(38631)], 2).
octal_div([train(53509)], [train(49802)], 0).
octal_div([train(20283)], [train(47353)], 0).
octal_div([train(10992)], [train(8462)], 0).
octal_div([train(26719)], [train(29453)], 4).
octal_div([train(48445)], [train(42927)], 3).
octal_div([train(15919)], [train(50505)], 1).
octal_div([train(31572)], [train(7724)], 1).
octal_div([train(59585)], [train(14993)], 0).
octal_div([train(42053)], [train(58080)], 0).
octal_div([train(12053)], [train(23056)], 2).
octal_div([train(49014)], [train(15096)], 0).
octal_div([train(14077)], [train(45627)], 11).
octal_div([train(51880)], [train(27041)], 2).
octal_div([train(26681)], [train(3564)], 4).
octal_div([train(20521)], [train(37624)], 10).
octal_div([train(43110)], [train(31298)], 1).
octal_div([train(58683)], [train(34588)], 7).
octal_div([train(25499)], [train(25089)], 3).
octal_div([train(59456)], [train(7939)], 1).
octal_div([train(13666)], [train(7468)], 1).
octal_div([train(56878)], [train(22000)], 2).
octal_div([train(18041)], [train(14279)], 1).
octal_div([train(16486)], [train(14351)], 2).
octal_div([train(23820)], [train(11755)], 1).
octal_div([train(56181)], [train(312)], 0).
octal_div([train(11371)], [train(48931)], 1).
octal_div([train(53097)], [train(33788)], 1).
octal_div([train(40800)], [train(29715)], 11).
octal_div([train(37544)], [train(39484)], 6).
octal_div([train(41329)], [train(18746)], 1).
octal_div([train(10552)], [train(3435)], 2).
octal_div([train(3474)], [train(41386)], 6).
octal_div([train(49515)], [train(11509)], 2).
octal_div([train(3597)], [train(26121)], 3).
octal_div([train(46110)], [train(27660)], 4).
octal_div([train(2980)], [train(11432)], 7).
octal_div([train(26685)], [train(13548)], 0).
octal_div([train(11399)], [train(56390)], 1).
octal_div([train(8057)], [train(23774)], 1).
octal_div([train(50108)], [train(38894)], 2).
octal_div([train(54955)], [train(34950)], 11).
octal_div([train(27762)], [train(10603)], 4).
octal_div([train(53618)], [train(54447)], 1).
octal_div([train(27641)], [train(55173)], 2).
octal_div([train(46574)], [train(34329)], 2).
octal_div([train(51410)], [train(21390)], 2).
octal_div([train(55081)], [train(44980)], 1).
octal_div([train(57916)], [train(31899)], 0).
octal_div([train(48157)], [train(9706)], 3).
octal_div([train(39318)], [train(26988)], 1).
octal_div([train(25707)], [train(26882)], 0).
octal_div([train(15836)], [train(43047)], 1).
octal_div([train(48817)], [train(8054)], 1).
octal_div([train(14528)], [train(16948)], 2).
octal_div([train(47903)], [train(49504)], 10).
octal_div([train(51753)], [train(29891)], 0).
octal_div([train(39769)], [train(26087)], 7).
octal_div([train(30840)], [train(39860)], 1).
octal_div([train(331)], [train(39250)], 1).
octal_div([train(2022)], [train(56656)], 2).
octal_div([train(25460)], [train(39358)], 0).
octal_div([train(40911)], [train(48874)], 1).
octal_div([train(44815)], [train(13686)], 0).
octal_div([train(16510)], [train(31377)], 3).
octal_div([train(29725)], [train(5895)], 3).
octal_div([train(53649)], [train(39590)], 1).
octal_div([train(9476)], [train(48257)], 0).
octal_div([train(3927)], [train(26488)], 3).
octal_div([train(48088)], [train(42673)], 3).
octal_div([train(11969)], [train(21541)], 0).
octal_div([train(49716)], [train(32501)], 0).
octal_div([train(16689)], [train(2426)], 3).
octal_div([train(14895)], [train(52974)], 3).
octal_div([train(20740)], [train(42348)], 7).
octal_div([train(10080)], [train(14273)], 0).
octal_div([train(20367)], [train(25780)], 3).
octal_div([train(33814)], [train(47311)], 2).
octal_div([train(14303)], [train(28759)], 1).
octal_div([train(13493)], [train(31633)], 6).
octal_div([train(38863)], [train(22281)], 1).
octal_div([train(15734)], [train(32990)], 0).
octal_div([train(7548)], [train(50657)], 0).
octal_div([train(46579)], [train(53031)], 0).
octal_div([train(39763)], [train(36892)], 4).
octal_div([train(44700)], [train(15465)], 0).
octal_div([train(58745)], [train(4766)], 1).
octal_div([train(43795)], [train(43446)], 6).
octal_div([train(28813)], [train(34405)], 4).
octal_div([train(15426)], [train(257)], 1).
octal_div([train(1402)], [train(50016)], 5).
octal_div([train(43183)], [train(29666)], 11).
octal_div([train(16875)], [train(39529)], 1).
octal_div([train(29259)], [train(24879)], 10).
octal_div([train(43471)], [train(3464)], 7).
octal_div([train(59241)], [train(26668)], 0).
octal_div([train(25002)], [train(41322)], 1).
octal_div([train(9310)], [train(46409)], 0).
octal_div([train(55542)], [train(42474)], 1).
octal_div([train(28943)], [train(56971)], 6).
octal_div([train(27170)], [train(22155)], 0).
octal_div([train(44844)], [train(58945)], 0).
octal_div([train(7708)], [train(15070)], 0).
octal_div([train(36773)], [train(13820)], 2).
octal_div([train(5321)], [train(49488)], 0).
octal_div([train(25195)], [train(32573)], 1).
octal_div([train(43952)], [train(45563)], 1).
octal_div([train(1798)], [train(42508)], 0).
octal_div([train(55697)], [train(8211)], 4).
octal_div([train(24329)], [train(3478)], 1).
octal_div([train(40538)], [train(34171)], 2).
octal_div([train(47887)], [train(26527)], 0).
octal_div([train(14409)], [train(41219)], 1).
octal_div([train(39746)], [train(16581)], 0).
octal_div([train(56023)], [train(41109)], 0).
octal_div([train(10447)], [train(37152)], 1).
octal_div([train(56362)], [train(33909)], 0).
octal_div([train(53223)], [train(31759)], 1).
octal_div([train(47649)], [train(59965)], 2).
octal_div([train(44578)], [train(25604)], 0).
octal_div([train(41445)], [train(56015)], 0).
octal_div([train(9016)], [train(39173)], 6).
octal_div([train(6134)], [train(37607)], 7).
octal_div([train(24237)], [train(15908)], 1).
octal_div([train(38446)], [train(21247)], 0).
octal_div([train(9595)], [train(5033)], 1).
octal_div([train(7953)], [train(50914)], 2).
octal_div([train(12174)], [train(29510)], 4).
octal_div([train(38405)], [train(59106)], 2).
octal_div([train(34811)], [train(14951)], 1).
octal_div([train(34303)], [train(7965)], 1).
octal_div([train(31661)], [train(33689)], 0).
octal_div([train(9459)], [train(48378)], 0).
octal_div([train(22224)], [train(29078)], 0).
octal_div([train(44846)], [train(1055)], 0).
octal_div([train(58557)], [train(22671)], 1).
octal_div([train(27266)], [train(53712)], 2).
octal_div([train(14590)], [train(750)], 1).
octal_div([train(44558)], [train(3430)], 0).
octal_div([train(35441)], [train(21496)], 3).
octal_div([train(40122)], [train(57824)], 0).
octal_div([train(57241)], [train(53140)], 0).
octal_div([train(23435)], [train(47721)], 4).
octal_div([train(54580)], [train(21292)], 1).
octal_div([train(6265)], [train(35215)], 3).
octal_div([train(25256)], [train(52242)], 4).
octal_div([train(6905)], [train(36548)], 2).
octal_div([train(5687)], [train(50717)], 1).
octal_div([train(50268)], [train(15121)], 10).
octal_div([train(24755)], [train(53109)], 0).
octal_div([train(22392)], [train(59733)], 1).
octal_div([train(22803)], [train(40691)], 2).
octal_div([train(2052)], [train(38884)], 2).
octal_div([train(16341)], [train(10756)], 3).
octal_div([train(15369)], [train(47373)], 11).
octal_div([train(48062)], [train(47233)], 10).
octal_div([train(10265)], [train(40618)], 0).
octal_div([train(17643)], [train(25685)], 1).
octal_div([train(47379)], [train(37023)], 4).
octal_div([train(55617)], [train(28730)], 0).
octal_div([train(39991)], [train(50911)], 10).
octal_div([train(43684)], [train(20327)], 1).
octal_div([train(40328)], [train(4595)], 3).
octal_div([train(55096)], [train(57631)], 6).
octal_div([train(53450)], [train(57726)], 2).
octal_div([train(4332)], [train(6485)], 1).
octal_div([train(55065)], [train(12048)], 0).
octal_div([train(33534)], [train(4634)], 0).
octal_div([train(54830)], [train(28857)], 6).
octal_div([train(15330)], [train(20143)], 0).
octal_div([train(3576)], [train(9902)], 3).
octal_div([train(35668)], [train(19051)], 7).
octal_div([train(34073)], [train(31923)], 0).
octal_div([train(46137)], [train(12416)], 3).
octal_div([train(26057)], [train(37948)], 3).
octal_div([train(51108)], [train(1782)], 0).
octal_div([train(21628)], [train(48536)], 0).
octal_div([train(14574)], [train(31324)], 0).
octal_div([train(3420)], [train(21928)], 10).
octal_div([train(29526)], [train(55151)], 2).
octal_div([train(39892)], [train(17900)], 2).
octal_div([train(18181)], [train(50826)], 3).
octal_div([train(44084)], [train(55636)], 1).
octal_div([train(791)], [train(13471)], 2).
octal_div([train(52859)], [train(54788)], 1).
octal_div([train(1792)], [train(46538)], 1).
octal_div([train(22534)], [train(54631)], 7).
octal_div([train(22377)], [train(55216)], 1).
octal_div([train(17755)], [train(24573)], 0).
octal_div([train(44863)], [train(39124)], 3).
octal_div([train(51439)], [train(5239)], 1).
octal_div([train(33704)], [train(3604)], 6).
octal_div([train(40867)], [train(11156)], 4).
octal_div([train(1093)], [train(40660)], 0).
octal_div([train(37844)], [train(31967)], 0).
octal_div([train(17227)], [train(35914)], 1).
octal_div([train(28391)], [train(25915)], 1).
octal_div([train(12147)], [train(55864)], 2).
octal_div([train(11858)], [train(39514)], 2).
octal_div([train(28393)], [train(7653)], 2).
octal_div([train(26240)], [train(56586)], 1).
octal_div([train(36881)], [train(2565)], 3).
octal_div([train(56176)], [train(48820)], 0).
octal_div([train(24872)], [train(20806)], 0).
octal_div([train(17108)], [train(31337)], 0).
octal_div([train(45803)], [train(14521)], 1).
octal_div([train(3208)], [train(43032)], 1).
octal_div([train(32623)], [train(59984)], 6).
octal_div([train(24719)], [train(2484)], 1).
octal_div([train(4411)], [train(3527)], 1).
octal_div([train(43468)], [train(6573)], 0).
octal_div([train(8884)], [train(49902)], 3).
octal_div([train(52366)], [train(46934)], 2).
octal_div([train(53024)], [train(42983)], 1).
octal_div([train(15807)], [train(58625)], 1).
octal_div([train(47933)], [train(49944)], 1).
octal_div([train(9337)], [train(8334)], 2).
octal_div([train(1050)], [train(10145)], 4).
octal_div([train(20157)], [train(54895)], 2).
octal_div([train(55565)], [train(55474)], 2).
octal_div([train(88)], [train(44123)], 0).
octal_div([train(16428)], [train(22212)], 0).
octal_div([train(59863)], [train(52243)], 1).
octal_div([train(33595)], [train(26384)], 1).
octal_div([train(22520)], [train(28068)], 3).
octal_div([train(1556)], [train(45996)], 5).
octal_div([train(33874)], [train(22727)], 0).
octal_div([train(38642)], [train(55543)], 6).
octal_div([train(25098)], [train(49966)], 2).
octal_div([train(15479)], [train(1841)], 2).
octal_div([train(26733)], [train(33191)], 2).
octal_div([train(32798)], [train(2466)], 1).
octal_div([train(26148)], [train(56241)], 3).
octal_div([train(9730)], [train(43016)], 3).
octal_div([train(41279)], [train(7492)], 1).
octal_div([train(40940)], [train(28569)], 3).
octal_div([train(2582)], [train(7656)], 0).
octal_div([train(33657)], [train(48394)], 0).
octal_div([train(48911)], [train(56055)], 0).
octal_div([train(3074)], [train(7859)], 2).
octal_div([train(14877)], [train(578)], 0).
octal_div([train(7003)], [train(35514)], 0).
octal_div([train(35232)], [train(16450)], 2).
octal_div([train(26525)], [train(2895)], 3).
octal_div([train(13130)], [train(51578)], 3).
octal_div([train(26402)], [train(40185)], 2).
octal_div([train(41656)], [train(35518)], 1).
octal_div([train(2849)], [train(37304)], 2).
octal_div([train(4032)], [train(22937)], 11).
octal_div([train(29113)], [train(37035)], 3).
octal_div([train(2771)], [train(3379)], 3).
octal_div([train(51889)], [train(2248)], 0).
octal_div([train(39306)], [train(4907)], 0).
octal_div([train(54290)], [train(11232)], 0).
octal_div([train(49856)], [train(15999)], 2).
octal_div([train(12533)], [train(25346)], 0).
octal_div([train(21658)], [train(30978)], 0).
octal_div([train(9832)], [train(41396)], 1).
octal_div([train(23683)], [train(48573)], 2).
octal_div([train(47419)], [train(5818)], 0).
octal_div([train(36564)], [train(57430)], 0).
octal_div([train(6987)], [train(59355)], 0).
octal_div([train(45967)], [train(57555)], 1).
octal_div([train(28504)], [train(3219)], 1).
octal_div([train(10083)], [train(43500)], 0).
octal_div([train(10542)], [train(51640)], 0).
octal_div([train(6363)], [train(23132)], 5).
octal_div([train(13640)], [train(17984)], 4).
octal_div([train(34797)], [train(42585)], 3).
octal_div([train(9701)], [train(32142)], 2).
octal_div([train(39147)], [train(32034)], 2).
octal_div([train(40099)], [train(14211)], 0).
octal_div([train(35229)], [train(33467)], 4).
octal_div([train(8867)], [train(4764)], 10).
octal_div([train(13343)], [train(58070)], 1).
octal_div([train(8768)], [train(30963)], 4).
octal_div([train(194)], [train(38637)], 2).
octal_div([train(48846)], [train(44650)], 4).
octal_div([train(52968)], [train(8131)], 10).
octal_div([train(31877)], [train(43492)], 0).
octal_div([train(42017)], [train(43751)], 1).
octal_div([train(56103)], [train(24433)], 0).
octal_div([train(46646)], [train(7315)], 6).
octal_div([train(38332)], [train(7461)], 0).
octal_div([train(55766)], [train(43993)], 1).
octal_div([train(29695)], [train(36424)], 0).
octal_div([train(34118)], [train(52291)], 7).
octal_div([train(33694)], [train(34869)], 3).
